RobertsNum,Species,Latin,Mass,Length,Wing,Breed,BrSys,Diet,ShrubNest,CavityNest,TreeNest,GroundNest,GrassNest,NestMinHt,NestMaxHt,ClutchM,EggDim1,EggDim2,IncPeriod,NestlingPeriod,DepFledPer,NestlingPred,EggPred,Parasite,AdPred,MaxLifespan,AnnSurvival,MultiBrood,Phylo
696,Pale Flycatcher,Bradornis pallidus,22,16,86.8,1,Pair,invertebrates,0,0,1,0,0,1,6,2.5,19.8,14.8,14,17,516,0,0,0,0,4.2,,,
700,Cape Batis,Batis capensis,12,13,60.5,1,Pair,invertebrates,1,0,1,0,0,0.8,9.5,2.1,18,13.9,18,16,,0,0,0,0,8.1,,,
701,Chinspot Batis,Batis molitor,12,13,60.8,1,Pair,invertebrates,1,0,1,0,0,,,1.7,17.3,13,17,17,98,0,0,0,0,,,,
710,African Paradise Flycatcher,Terpsiphone viridis,14,17,78.6,1,Pair,invertebrates,0,0,1,0,0,1,16,2.7,18.4,14.1,15.1,13,21,0,0,0,0,,,1,
711,African Pied Wagtail,Motacilla aguimp,27,20,91.3,1,Pair,invertebrates,0,1,0,1,1,,,3.2,21.8,15.9,13.8,16.5,20,0,0,0,0,,,1,
716,African Pipit,Anthus cinnamomeus,24.5,16.5,86,1,Pair,invertebrates,0,0,0,1,0,0,0,3,20.7,15.3,13.5,14,,0,0,0,0,,,,
717,Long-billed Pipit,Anthus similis,30,18.5,93.4,1,Pair,invertebrates,0,0,0,1,0,0,0,2.9,21.9,15.7,,13.5,,0,0,0,0,,,,
718,Plain-backed Pipit,Anthus leucophrys,24,17,95.1,1,Pair,invertebrates,0,0,0,1,1,0,0,2.9,21.5,15.6,14,16,,0,0,0,0,,,,
728,Yellow-throated Longclaw,Macronyx croceus,48,21,96.8,1,Pair,invertebrates,0,0,0,1,1,0,0,2.9,24.1,18.2,13.5,16.5,,0,0,0,0,,,,
731,Lesser Grey Shrike,Lanius minor,46,21,118,0,,invertebrates,0,0,0,0,0,,,,,,,,,0,0,0,0,,,,
732,Southern Fiscal,Lanius collaris,40,22,98.9,1,Pair,invertebrates,1,0,1,0,0,0.6,6,3.5,23.5,17.7,14.5,19,120,1,0,0,1,12,,1,
733,Red-backed Shrike,Lanius collurio,29,18,93.2,0,,invertebrates,0,0,0,0,0,,,,,,,,,0,0,0,1,10.1,,,
735,Magpie Shrike,Corvinella melanoleuca,82,45,140,1,Coop,invertebrates,0,0,1,0,0,3,5,3.3,26.8,19.7,16,17,,0,0,0,0,,,1,
736,Southern Boubou,Laniarius ferrugineus,59,22,94,1,Pair,invertebrates,1,0,1,0,0,0.3,8,2.5,24.6,18.1,16.5,16.5,77,1,1,0,0,11,,1,
